,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
0,1678,Spider-Man (Peter Parker),\/Spider-Man_(Peter_Parker),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,4043.0,Aug-62,1962.0
1,7139,Captain America (Steven Rogers),\/Captain_America_(Steven_Rogers),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,3360.0,Mar-41,1941.0
2,64786,"Wolverine (James \""Logan\"" Howlett)",\/Wolverine_(James_%22Logan%22_Howlett),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3061.0,Oct-74,1974.0
3,1868,"Iron Man (Anthony \""Tony\"" Stark)",\/Iron_Man_(Anthony_%22Tony%22_Stark),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2961.0,Mar-63,1963.0
4,2460,Thor (Thor Odinson),\/Thor_(Thor_Odinson),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2258.0,Nov-50,1950.0
5,2458,Benjamin Grimm (Earth-616),\/Benjamin_Grimm_(Earth-616),Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,,Living Characters,2255.0,Nov-61,1961.0
6,2166,Reed Richards (Earth-616),\/Reed_Richards_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2072.0,Nov-61,1961.0
7,1833,Hulk (Robert Bruce Banner),\/Hulk_(Robert_Bruce_Banner),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2017.0,May-62,1962.0
8,29481,Scott Summers (Earth-616),\/Scott_Summers_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1955.0,Sep-63,1963.0
9,1837,Jonathan Storm (Earth-616),\/Jonathan_Storm_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1934.0,Nov-61,1961.0
10,15725,Henry McCoy (Earth-616),\/Henry_McCoy_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,,Living Characters,1825.0,Sep-63,1963.0
11,1863,Susan Storm (Earth-616),\/Susan_Storm_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1713.0,Nov-61,1961.0
13,2614,Ororo Munroe (Earth-616),\/Ororo_Munroe_(Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,1512.0,May-75,1975.0
14,1803,Clinton Barton (Earth-616),\/Clinton_Barton_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1394.0,Sep-64,1964.0
15,1396,Matthew Murdock (Earth-616),\/Matthew_Murdock_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,1338.0,Apr-64,1964.0
16,55534,Stephen Strange (Earth-616),\/Stephen_Strange_(Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,1307.0,Jul-63,1963.0
17,1978,Mary Jane Watson (Earth-616),\/Mary_Jane_Watson_(Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,1304.0,Jun-65,1965.0
18,1872,John Jonah Jameson (Earth-616),\/John_Jonah_Jameson_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1266.0,Mar-63,1963.0
19,35350,Robert Drake (Earth-616),\/Robert_Drake_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1265.0,Sep-63,1963.0
20,1557,Henry Pym (Earth-616),\/Henry_Pym_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1237.0,Jan-62,1962.0
21,65255,Charles Xavier (Earth-616),\/Charles_Xavier_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,1233.0,Sep-63,1963.0
22,1073,Warren Worthington III (Earth-616),\/Warren_Worthington_III_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1230.0,Sep-63,1963.0
23,1346,Piotr Rasputin (Earth-616),\/Piotr_Rasputin_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1162.0,May-75,1975.0
24,2512,Wanda Maximoff (Earth-616),\/Wanda_Maximoff_(Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,1161.0,Mar-64,1964.0
25,1671,Nicholas Fury (Earth-616),\/Nicholas_Fury_(Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1137.0,May-63,1963.0
26,1976,Janet van Dyne (Earth-616),\/Janet_van_Dyne_(Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,,Living Characters,1120.0,Jun-63,1963.0
27,65219,Jean Grey (Earth-616),\/Jean_Grey_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,1107.0,Sep-63,1963.0
28,6545,Natalia Romanova (Earth-616),\/Natalia_Romanova_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,1050.0,Apr-64,1964.0
29,2223,Kurt Wagner (Earth-616),\/Kurt_Wagner_(Earth-616),Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,,Living Characters,1047.0,May-75,1975.0
30,2414,Vision (Earth-616),\/Vision_(Earth-616),Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,,Living Characters,1007.0,Oct-68,1968.0
31,8650,May Reilly (Earth-616),\/May_Reilly_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,,Living Characters,1000.0,Aug-62,1962.0
32,2527,Katherine Pryde (Earth-616),\/Katherine_Pryde_(Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Living Characters,886.0,Jan-80,1980.0
33,1970,Carol Danvers (Earth-616),\/Carol_Danvers_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,881.0,Mar-68,1968.0
34,37690,Jennifer Walters (Earth-616),\/Jennifer_Walters_(Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,881.0,Feb-80,1980.0
35,3765,Emma Frost (Earth-616),\/Emma_Frost_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,880.0,Jan-80,1980.0
36,2312,Frank Castle (Earth-616),\/Frank_Castle_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,878.0,Feb-74,1974.0
37,1265,Luke Cage (Earth-616),\/Luke_Cage_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,856.0,Jun-72,1972.0
39,25222,Conan (Earth-616),\/Conan_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,787.0,Oct-70,1970.0
40,6537,Joseph Robertson (Earth-616),\/Joseph_Robertson_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,752.0,Aug-67,1967.0
41,1592,Pietro Maximoff (Earth-616),\/Pietro_Maximoff_(Earth-616),Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,,Living Characters,740.0,Mar-64,1964.0
42,1818,Hercules (Earth-616),\/Hercules_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,Living Characters,725.0,Oct-65,1965.0
43,1448,Victor von Doom (Earth-616),\/Victor_von_Doom_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,721.0,Jul-62,1962.0
44,2081,Max Eisenhardt (Earth-616),\/Max_Eisenhardt_(Earth-616),Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,,Living Characters,709.0,Sep-63,1963.0
45,2307,Elizabeth Braddock (Earth-616),\/Elizabeth_Braddock_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Bisexual Characters,Living Characters,708.0,Dec-76,1976.0
46,2556,Norrin Radd (Earth-616),\/Norrin_Radd_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,696.0,Mar-66,1966.0
47,1740,Norman Osborn (Earth-616),\/Norman_Osborn_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,692.0,Jul-64,1964.0
48,8651,Eugene Thompson (Earth-616),\/Eugene_Thompson_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,689.0,Aug-62,1962.0
49,2009,Simon Williams (Earth-616),\/Simon_Williams_(Earth-616),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,,Living Characters,686.0,Oct-64,1964.0
50,1276,Samuel Guthrie (Earth-616),\/Samuel_Guthrie_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,657.0,Nov-82,1982.0
51,15823,James Buchanan Barnes (Earth-616),\/James_Buchanan_Barnes_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,641.0,Mar-41,1941.0
52,1680,Remy LeBeau (Earth-616),\/Remy_LeBeau_(Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,,Living Characters,636.0,Jul-90,1990.0
53,1866,Daniel Rand (Earth-616),\/Daniel_Rand_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,618.0,May-74,1974.0
54,32498,Nathan Summers (Earth-616),\/Nathan_Summers_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,612.0,Jan-86,1986.0
55,1772,Elizabeth Brant (Earth-616),\/Elizabeth_Brant_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,599.0,Sep-63,1963.0
56,1896,Richard Jones (Earth-616),\/Richard_Jones_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,590.0,May-62,1962.0
57,1496,Edwin Jarvis (Earth-616),\/Edwin_Jarvis_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,567.0,Nov-64,1964.0
58,1802,Alexander Summers (Earth-616),\/Alexander_Summers_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,558.0,Mar-69,1969.0
59,1811,Patricia Walker (Earth-616),\/Patricia_Walker_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,550.0,Nov-44,1944.0
60,1836,Human Torch (Android) (Earth-616),\/Human_Torch_(Android)_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,548.0,Oct-39,1939.0
